system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCVI,Label,MNDWI,NDBI,NDVI,NDWI,.geo
0_0,145.0,165.0,90.0,145.0,224.0,140.0,202.0,101.0,201.0,154.0,180.0,1328.0,-0.3783783783783784,-0.3125,Water,0.15167095,0.03448276,0.04761905,0.18518518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.646953771831632,50.53001015290205]}"
1_0,146.0,574.0,322.0,162.5,212.0,177.5,288.0,476.5,552.0,486.5,597.5,1756.0,2.3146067415730336,1.2948113207547172,Water,-0.4605598,0.08250825,0.46536145,-0.39298496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.805142519083229,49.87459932160845]}"
2_0,215.0,1358.0,634.0,226.0,374.0,302.0,609.0,1708.0,2032.0,1226.0,2310.0,3188.0,1.71875,2.27807486631016,Water,-0.5681293,0.05108359,0.60471207,-0.5325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.353299079734812,49.184064362705776]}"
3_0,237.0,145.0,102.0,166.0,224.0,132.0,119.0,114.0,152.0,153.0,147.0,770.0,-0.17558528428093645,-0.3169642857142857,Water,0.21409214,-0.026845638,0.07368421,0.1883289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.0934118937571835,49.982037829589146]}"
4_0,206.0,77.0,41.0,252.0,328.0,154.0,145.0,109.0,161.0,120.0,129.0,746.0,0.10059171597633136,-0.6341463414634146,Water,0.61975306,-0.21827412,-0.124087594,0.4642857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.3900401748553,49.2105646635873]}"
5_0,463.5,216.5,163.5,375.5,468.5,266.0,246.0,212.5,219.5,216.5,196.0,730.0,0.12341062079281975,-0.5378868729989328,Water,0.3678832,0.0,-0.10259067,0.3678832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.931270559255461,49.97071905700924]}"
6_0,335.0,188.0,123.0,426.0,566.0,341.0,294.0,198.0,228.0,234.0,194.0,696.0,0.29266958424507655,-0.5865724381625441,Water,0.50132626,-0.109004736,-0.18608695,0.415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.812423447166449,50.03144517021572]}"
7_0,130.0,91.0,81.0,123.0,147.0,85.0,88.0,98.0,96.0,94.0,111.0,210.0,-0.07086614173228346,-0.3605442176870748,Water,0.23529412,-0.016216217,0.05027933,0.21991701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.398664001582848,49.584353653309435]}"
8_0,142.0,128.5,94.5,149.5,212.5,120.5,135.5,104.0,134.0,123.0,135.5,722.0,-0.022789425706472195,-0.42117647058823526,Water,0.24633431,0.021868788,0.01026694,0.266766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.596463878582264,49.714699201035174]}"
9_0,306.0,116.0,82.0,360.0,467.0,218.0,181.0,149.0,171.0,142.0,158.0,149.0,0.1521216973578863,-0.6959314775160599,Water,0.6020583,-0.1007752,-0.21111111,0.5336617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.373421342099089,49.17651851431917]}"
10_0,297.5,126.0,94.0,380.0,487.0,304.5,246.0,150.5,169.0,163.0,142.5,135.5,0.4118160651920838,-0.6652977412731006,Water,0.588907,-0.12802768,-0.3026738,0.49846154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.683784698480533,50.17086370231107]}"
11_0,340.0,243.0,179.5,190.5,274.0,219.5,241.0,189.5,196.5,203.5,196.0,1103.5,-0.431266846361186,-0.2572992700729927,Water,0.059961315,0.08846585,-0.03782506,0.14764398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.55397356564341,49.60762001916813]}"
12_0,230.0,1930.0,1066.0,239.0,472.0,370.0,919.0,2222.0,2571.0,2636.0,2932.0,2933.0,1.8485886767825095,4.584745762711864,Water,-0.60699415,-0.15462111,0.75382566,-0.6962677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.995050944427947,50.591634581392654]}"
13_0,362.0,175.0,121.0,410.0,488.0,269.0,187.0,116.0,168.0,274.0,142.0,834.0,-0.010539629005059021,-0.4385245901639344,Water,0.47209653,-0.22048998,0.009208103,0.2808399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.36515684148519,49.12621285840848]}"
14_0,189.0,1064.5,481.0,214.0,348.0,217.5,502.0,1357.5,1683.0,2041.0,1747.0,2647.0,2.6169632606199773,4.864942528735632,Water,-0.5072566,-0.31444213,0.80739427,-0.7086647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.571225793380357,49.47880160742539]}"
15_0,153.5,248.0,138.5,176.0,249.5,159.5,138.5,176.0,214.5,239.0,251.0,896.0,-1.6158536585365855,-0.04208416833667339,Water,0.0030150753,0.018480493,0.19949812,0.02149437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.049843602477386,49.93999667429235]}"
